Event Name,Event Time,Status,External Url
Have it all – a modern woman's guide to full expression in career and love,"May 15, 2021 03:00 PM - May 15, 2021 06:00 PM",RELINQUISHED,https://www.eventbrite.co.uk/e/149739060561
Webinar: Social-Distancing Challenges as a PM by Amazon Sr PM,"Nov 09, 2020 10:00 PM - Nov 09, 2020 10:30 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-social-distancing-challenges-as-a-pm-by-amazon-sr-pm-tickets-119594206491?aff=linkedinevents
Webinar: Bias in Usage and Experimentation Data by fmr Microsoft PM,"Oct 02, 2020 06:30 PM - Oct 02, 2020 07:00 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-bias-in-usage-and-experimentation-data-by-fmr-microsoft-pm-tickets-122365543635?aff=linkedinevents
ABA SEER: Metrics and Pathways to Create a Sustainable Legal Organization,"Apr 06, 2021 04:00 PM - Apr 06, 2021 05:00 PM",APPROVED,https://americanbar.zoom.us/meeting/register/tJcodumqpzMiHdXIG9SxFXDdTMjuAeHxiVn_
Trustworthy AI: How to launch enterprise AI projects,"Aug 28, 2024 05:00 PM - Aug 28, 2024 06:00 PM",APPROVED,
Webinar: PM Learnings: Startups vs Global Enterprises by PayPal Sr PM,"Aug 24, 2020 08:00 PM - Aug 24, 2020 08:30 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-pm-learnings-startups-vs-global-enterprises-by-paypal-sr-pm-tickets-115913015951?aff=linkedinevents
JAMES + Personalised Recommendations - Free Webinar,"May 05, 2020 02:00 PM - May 05, 2020 03:30 PM",APPROVED,https://zoom.us/webinar/register/WN_8j85ol2WTvmcdiuWMc3WqQ
Webinar: How to Measure Success of Any Product by PayPal PM,"Dec 30, 2020 10:00 PM - Dec 30, 2020 10:30 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-how-to-measure-success-of-any-product-by-paypal-pm-tickets-121187728759?aff=linkedinevents
Webinar: Building an Inclusive Product by fmr Instacart Product Lead,"Nov 16, 2020 09:00 PM - Nov 16, 2020 09:30 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-building-an-inclusive-product-by-fmr-instacart-product-lead-tickets-119084602251?aff=linkedinevents
Product Management Live Chat by Amazon Lead Product Manager,"Sep 21, 2020 05:30 PM - Sep 21, 2020 06:00 PM",RELINQUISHED,https://www.eventbrite.com/e/product-management-live-chat-by-amazon-lead-product-manager-tickets-117383825181?aff=linkedinevents
Podcast: Adding Value to Your Product by WalkMe VP of Sales,"Dec 01, 2020 04:00 AM - Dec 01, 2020 05:00 AM",RELINQUISHED,https://www.eventbrite.com/e/podcast-insight-led-products-by-spotify-sr-product-manager-tickets-122690288957?aff=linkedinevents
Webinar: Why is System Design Important by Facebook PM,"Nov 20, 2020 10:00 PM - Nov 20, 2020 10:30 PM",RELINQUISHED,https://www.eventbrite.com/e/webinar-why-is-system-design-important-by-facebook-pm-tickets-121005816655?aff=linkedinevents
Fireside Chat with Uber Director of Product,"Sep 18, 2020 08:00 PM - Sep 18, 2020 08:30 PM",RELINQUISHED,https://www.eventbrite.com/e/fireside-chat-with-uber-director-of-product-tickets-119897509679?aff=linkedinevents
Fireside Chat with Pendo.io Director of Product Operations,"Sep 29, 2020 05:00 AM - Sep 29, 2020 05:30 AM",RELINQUISHED,https://www.eventbrite.com/e/fireside-chat-with-pendoio-director-of-product-operations-tickets-117754989343?aff=linkedinevents
