Challenge Date,IP Address,User Agent,Country,Challenge Type
Sat Jul 27 07:41:31 UTC 2024,216.73.163.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 Edg/93.0.961.52",United States,CAPTCHA_CHALLENGE
Sat Jul 27 07:41:31 UTC 2024,216.73.163.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/93.0.4577.82 Safari/537.36 Edg/93.0.961.52",United States,CAPTCHA_CHALLENGE
Fri Aug 16 04:53:15 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 04:53:15 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 04:53:24 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,CAPTCHA_CHALLENGE
Fri Aug 16 04:53:27 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 04:53:27 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 04:53:48 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 04:54:17 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
Fri Aug 16 04:54:27 UTC 2024,185.225.234.245,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36",Unknown,EMAIL_PIN_CHALLENGE
