Name
Cross-team Collaboration
Technical Proficiency
Attention to Detail
High-Pressure Situations
GitHub
Atlassian Suite
Continuous Delivery (CD)
Continuous Integration (CI)
Early-Stage Startups
Python (Programming Language)
Project Management
Cross-functional Team Leadership
Data Analytics
Amazon Web Services (AWS)
Communication
Technical Program Management
Dana Analytics
Entrepreneurship
Social Media
Start-ups
Social Media Marketing
Strategic Partnerships
Product Management
Digital Media
Digital Strategy
Management
Business Development
Marketing Strategy
Marketing
Business Strategy
Mobile Devices
Mobile Applications
Public Speaking
Online Marketing
Digital Marketing
Intellectual Property
Strategy
Analytics
Integrated Marketing
Web Analytics
Strategic Planning
Mobile Marketing
Angel Investing
Web Marketing
New Media
Software Development
Agile Methodologies
Web Development
React.js
Serverless Computing
Infrastructure as code (IaC)
Continuous Integration and Continuous Delivery (CI/CD)
Product Development
Product Strategy
